馬券種類,馬1,馬2,馬3,確率,確率順位,key,３連単オッズ,オッズ順位,期待値,期待値順位
三連単,12,4,11,0.0187%,1560,12-4-11,88425.2,397,16.56985029,109
三連単,15,9,8,0.0716%,106,15-9-8,23027.4,1250,16.49763005,110
三連単,12,13,8,0.0318%,808,12-13-8,51710.6,686,16.46211562,111
三連単,12,8,17,0.0083%,2669,12-8-17,196500.6,87,16.36322698,112
三連単,12,8,6,0.0070%,2866,12-8-6,232698,46,16.33668673,113
三連単,12,11,8,0.0133%,2066,12-11-8,122812.8,248,16.32185721,114
三連単,17,4,12,0.0068%,2915,17-4-12,238987.2,39,16.23588478,115
三連単,15,8,17,0.0172%,1694,15-8-17,94069.4,373,16.20699356,116
三連単,4,15,10,0.0312%,831,4-15-10,52014.8,680,16.20597337,117
三連単,4,12,5,0.0304%,859,4-12-5,53268.2,663,16.1763753,118
三連単,14,12,8,0.0115%,2250,14-12-8,140357.5,198,16.08995809,119
三連単,12,5,15,0.0191%,1524,12-5-15,84214.5,426,16.07282951,120
三連単,4,15,8,0.0422%,499,4-15-8,37310.2,907,15.75150338,121
三連単,4,12,17,0.0106%,2358,4-12-17,147375.4,181,15.65252429,122
三連単,10,9,12,0.0134%,2054,10-9-12,116349,263,15.60641246,123
三連単,12,9,17,0.0150%,1884,12-9-17,104029.7,316,15.55560268,124
三連単,12,11,10,0.0098%,2438,12-11-10,157902.2,160,15.48702062,125
三連単,17,5,12,0.0061%,3036,17-5-12,252643.6,27,15.47478981,126
三連単,15,13,12,0.0643%,167,15-13-12,24028.6,1218,15.45929757,127
三連単,11,8,12,0.0159%,1808,11-8-12,97170.6,360,15.42486825,128
三連単,10,12,5,0.0054%,3142,10-12-5,285242.8,12,15.38677142,129
三連単,10,7,12,0.0085%,2641,10-7-12,180459.7,115,15.37729786,130
三連単,12,4,13,0.0333%,751,12-4-13,46054.8,765,15.33283714,131
三連単,12,15,3,0.0159%,1809,12-15-3,96114.4,365,15.23753288,132
三連単,12,15,1,0.0243%,1170,12-15-1,62712.9,568,15.22032958,133
三連単,15,10,8,0.0110%,2310,15-10-8,138164.4,201,15.19337221,134
三連単,15,12,3,0.0191%,1521,15-12-3,78951.1,457,15.08677792,135
三連単,12,1,10,0.0175%,1678,12-1-10,85849.7,414,15.03597896,136
三連単,12,10,15,0.0044%,3339,12-10-15,340097.1,3,14.82380756,137
三連単,4,8,17,0.0186%,1572,4-8-17,79662.4,452,14.8096712,138
三連単,15,8,9,0.0517%,307,15-8-9,28524.2,1110,14.74783767,139
三連単,14,4,12,0.0262%,1044,14-4-12,55965.3,629,14.68304895,140
三連単,12,14,15,0.0183%,1600,12-14-15,79662.4,452,14.54028988,141
三連単,15,14,8,0.0460%,415,15-14-8,31468,1035,14.49072125,142
三連単,12,15,11,0.0137%,2024,12-15-11,105268.1,310,14.4512129,143
三連単,9,8,12,0.0272%,998,9-8-12,52949.2,670,14.40432642,144
三連単,4,11,12,0.0290%,918,4-11-12,49677.1,707,14.39711055,145
三連単,15,9,10,0.0529%,289,15-9-10,27207.7,1148,14.38540986,146
三連単,4,6,12,0.0075%,2787,4-6-12,192228.8,96,14.35293938,147
三連単,12,14,1,0.0286%,931,12-14-1,50241.6,704,14.35142434,148
三連単,4,5,10,0.0383%,578,4-5-10,37310.2,907,14.30625368,149
三連単,12,5,4,0.0241%,1185,12-5-4,59345.8,602,14.29670543,150
三連単,12,17,15,0.0042%,3365,12-17-15,340097.1,3,14.28148206,151
三連単,7,12,10,0.0114%,2253,7-12-10,124542.6,239,14.25649487,152
三連単,15,12,7,0.0306%,847,15-12-7,46539.6,757,14.25209765,153
三連単,12,3,8,0.0175%,1680,12-3-8,81124.1,446,14.16780865,154
三連単,14,15,12,0.0192%,1506,14-15-12,73078.7,500,14.04601748,155
三連単,12,9,6,0.0126%,2133,12-9-6,110531.5,286,13.93419283,156
三連単,15,7,8,0.0455%,426,15-7-8,30596.9,1055,13.92558514,157
三連単,12,8,13,0.0249%,1124,12-8-13,55965.3,629,13.91961374,158
三連単,12,5,9,0.0302%,867,12-5-9,46054.8,765,13.88977392,159
三連単,12,1,8,0.0237%,1212,12-1-8,58174.5,608,13.80612599,160
三連単,10,12,15,0.0036%,3482,10-12-15,384457.6,1,13.77442365,161
三連単,15,12,11,0.0165%,1749,15-12-11,82640.4,439,13.67451844,162
三連単,4,12,9,0.0319%,804,4-12-9,42717.5,814,13.61526215,163
三連単,12,17,7,0.0069%,2888,12-17-7,196500.6,87,13.51832711,164
三連単,12,14,11,0.0162%,1780,12-14-11,83420,430,13.47851581,165
三連単,15,12,2,0.0157%,1823,15-12-2,85849.7,414,13.46638084,166
三連単,12,5,11,0.0169%,1720,12-5-11,79662.4,452,13.45894623,167
三連単,8,4,12,0.0212%,1368,8-4-12,63160.9,565,13.36761113,168
三連単,15,8,14,0.0405%,536,15-8-14,32871.8,1003,13.3067903,169
